global_id,task_id,original_local_path,original_local_filename,manifest_path,source_name_from_manifest,new_filename,infection_status,annotation_available,status,notes,ambiguity_reason
,0,original_data/task_0/data/2.jpg,2.jpg,original_data/task_0/data/manifest.jsonl,2,,ambiguous,True,ambiguous,Could not infer infection status: purely_numeric,purely_numeric
,1,original_data/task_1/data/1.jpg,1.jpg,original_data/task_1/data/manifest.jsonl,1,,ambiguous,True,ambiguous,Could not infer infection status: purely_numeric,purely_numeric
,10,original_data/task_10/data/1739189416119.jpg,1739189416119.jpg,original_data/task_10/data/manifest.jsonl,1739189416119,,ambiguous,True,ambiguous,Could not infer infection status: purely_numeric,purely_numeric
,100,original_data/task_100/data/+1747636396301.jpg,+1747636396301.jpg,original_data/task_100/data/manifest.jsonl,+1747636396301,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,101,original_data/task_101/data/+1747636396529.jpg,+1747636396529.jpg,original_data/task_101/data/manifest.jsonl,+1747636396529,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,102,original_data/task_102/data/+1747636396339.jpg,+1747636396339.jpg,original_data/task_102/data/manifest.jsonl,+1747636396339,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,103,original_data/task_103/data/+1747636396223.jpg,+1747636396223.jpg,original_data/task_103/data/manifest.jsonl,+1747636396223,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,104,original_data/task_104/data/Ц-079_07.05.jpg,Ц-079_07.05.jpg,original_data/task_104/data/manifest.jsonl,Ц-079_07.05,,ambiguous,True,ambiguous,Could not infer infection status: no_clinical_markers,no_clinical_markers
,104,original_data/task_104/data/Ц-079_12.05.jpg,Ц-079_12.05.jpg,original_data/task_104/data/manifest.jsonl,Ц-079_12.05,,ambiguous,True,ambiguous,Could not infer infection status: no_clinical_markers,no_clinical_markers
,11,original_data/task_11/data/1.jpg,1.jpg,original_data/task_11/data/manifest.jsonl,1,,ambiguous,True,ambiguous,Could not infer infection status: purely_numeric,purely_numeric
,12,original_data/task_12/data/1739189416009.jpg,1739189416009.jpg,original_data/task_12/data/manifest.jsonl,1739189416009,,ambiguous,True,ambiguous,Could not infer infection status: purely_numeric,purely_numeric
,14,original_data/task_14/data/2.jpeg,2.jpeg,original_data/task_14/data/manifest.jsonl,2,,ambiguous,True,ambiguous,Could not infer infection status: purely_numeric,purely_numeric
,15,original_data/task_15/data/4.jpeg,4.jpeg,original_data/task_15/data/manifest.jsonl,4,,ambiguous,True,ambiguous,Could not infer infection status: purely_numeric,purely_numeric
,15,original_data/task_15/data/5.jpeg,5.jpeg,original_data/task_15/data/manifest.jsonl,5,,ambiguous,True,ambiguous,Could not infer infection status: purely_numeric,purely_numeric
,15,original_data/task_15/data/6.jpeg,6.jpeg,original_data/task_15/data/manifest.jsonl,6,,ambiguous,True,ambiguous,Could not infer infection status: purely_numeric,purely_numeric
,16,original_data/task_16/data/WhatsApp Image 2025-02-24 at 15.23.48 (1).jpeg,WhatsApp Image 2025-02-24 at 15.23.48 (1).jpeg,original_data/task_16/data/manifest.jsonl,WhatsApp Image 2025-02-24 at 15.23.48 (1),,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,16,original_data/task_16/data/WhatsApp Image 2025-02-24 at 15.23.48.jpeg,WhatsApp Image 2025-02-24 at 15.23.48.jpeg,original_data/task_16/data/manifest.jsonl,WhatsApp Image 2025-02-24 at 15.23.48,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,16,original_data/task_16/data/WhatsApp Image 2025-02-24 at 15.23.49.jpeg,WhatsApp Image 2025-02-24 at 15.23.49.jpeg,original_data/task_16/data/manifest.jsonl,WhatsApp Image 2025-02-24 at 15.23.49,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,165,original_data/task_165/data/+1750320753703.jpg,+1750320753703.jpg,original_data/task_165/data/manifest.jsonl,+1750320753703,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,165,original_data/task_165/data/+1750320753741.jpg,+1750320753741.jpg,original_data/task_165/data/manifest.jsonl,+1750320753741,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,166,original_data/task_166/data/+1750320753579.jpg,+1750320753579.jpg,original_data/task_166/data/manifest.jsonl,+1750320753579,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,166,original_data/task_166/data/+1750320753614.jpg,+1750320753614.jpg,original_data/task_166/data/manifest.jsonl,+1750320753614,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,17,original_data/task_17/data/WhatsApp Image 2025-02-24 at 15.24.09.jpeg,WhatsApp Image 2025-02-24 at 15.24.09.jpeg,original_data/task_17/data/manifest.jsonl,WhatsApp Image 2025-02-24 at 15.24.09,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,173,original_data/task_173/data/+1750680163175.jpg,+1750680163175.jpg,original_data/task_173/data/manifest.jsonl,+1750680163175,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,173,original_data/task_173/data/+1750680163221.jpg,+1750680163221.jpg,original_data/task_173/data/manifest.jsonl,+1750680163221,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,174,original_data/task_174/data/+1750680163125.jpg,+1750680163125.jpg,original_data/task_174/data/manifest.jsonl,+1750680163125,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,175,original_data/task_175/data/+1750680163040.jpg,+1750680163040.jpg,original_data/task_175/data/manifest.jsonl,+1750680163040,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,175,original_data/task_175/data/+1750680163058.jpg,+1750680163058.jpg,original_data/task_175/data/manifest.jsonl,+1750680163058,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,176,original_data/task_176/data/1.jpeg,1.jpeg,original_data/task_176/data/manifest.jsonl,1,,ambiguous,True,ambiguous,Could not infer infection status: purely_numeric,purely_numeric
,177,original_data/task_177/data/2.jpeg,2.jpeg,original_data/task_177/data/manifest.jsonl,2,,ambiguous,True,ambiguous,Could not infer infection status: purely_numeric,purely_numeric
,18,original_data/task_18/data/03.jpg,03.jpg,original_data/task_18/data/manifest.jsonl,03,,ambiguous,True,ambiguous,Could not infer infection status: purely_numeric,purely_numeric
,18,original_data/task_18/data/04.jpg,04.jpg,original_data/task_18/data/manifest.jsonl,04,,ambiguous,True,ambiguous,Could not infer infection status: purely_numeric,purely_numeric
,18,original_data/task_18/data/05.jpg,05.jpg,original_data/task_18/data/manifest.jsonl,05,,ambiguous,True,ambiguous,Could not infer infection status: purely_numeric,purely_numeric
,18,original_data/task_18/data/06.jpg,06.jpg,original_data/task_18/data/manifest.jsonl,06,,ambiguous,True,ambiguous,Could not infer infection status: purely_numeric,purely_numeric
,19,original_data/task_19/data/IMG_20241118_103226.jpg,IMG_20241118_103226.jpg,original_data/task_19/data/manifest.jsonl,IMG_20241118_103226,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,2,original_data/task_2/data/Д1.jpeg,Д1.jpeg,original_data/task_2/data/manifest.jsonl,Д1,,ambiguous,True,ambiguous,Could not infer infection status: no_clinical_markers,no_clinical_markers
,2,original_data/task_2/data/Д2.jpeg,Д2.jpeg,original_data/task_2/data/manifest.jsonl,Д2,,ambiguous,True,ambiguous,Could not infer infection status: no_clinical_markers,no_clinical_markers
,2,original_data/task_2/data/Д3.jpeg,Д3.jpeg,original_data/task_2/data/manifest.jsonl,Д3,,ambiguous,True,ambiguous,Could not infer infection status: no_clinical_markers,no_clinical_markers
,2,original_data/task_2/data/Д4.jpeg,Д4.jpeg,original_data/task_2/data/manifest.jsonl,Д4,,ambiguous,True,ambiguous,Could not infer infection status: no_clinical_markers,no_clinical_markers
,20,original_data/task_20/data/IMG_20240530_114057.jpg,IMG_20240530_114057.jpg,original_data/task_20/data/manifest.jsonl,IMG_20240530_114057,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,20,original_data/task_20/data/IMG_20240530_122057.jpg,IMG_20240530_122057.jpg,original_data/task_20/data/manifest.jsonl,IMG_20240530_122057,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,21,original_data/task_21/data/IMG_20240618_092709.jpg,IMG_20240618_092709.jpg,original_data/task_21/data/manifest.jsonl,IMG_20240618_092709,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,21,original_data/task_21/data/IMG_20240618_092724.jpg,IMG_20240618_092724.jpg,original_data/task_21/data/manifest.jsonl,IMG_20240618_092724,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,21,original_data/task_21/data/IMG_20240619_092703.jpg,IMG_20240619_092703.jpg,original_data/task_21/data/manifest.jsonl,IMG_20240619_092703,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,21,original_data/task_21/data/IMG_20240624_092406.jpg,IMG_20240624_092406.jpg,original_data/task_21/data/manifest.jsonl,IMG_20240624_092406,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,21,original_data/task_21/data/IMG_20240624_092413.jpg,IMG_20240624_092413.jpg,original_data/task_21/data/manifest.jsonl,IMG_20240624_092413,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,22,original_data/task_22/data/IMG_20240530_094237.jpg,IMG_20240530_094237.jpg,original_data/task_22/data/manifest.jsonl,IMG_20240530_094237,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,23,original_data/task_23/data/IMG_20240618_090939.jpg,IMG_20240618_090939.jpg,original_data/task_23/data/manifest.jsonl,IMG_20240618_090939,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,23,original_data/task_23/data/IMG_20240619_095149.jpg,IMG_20240619_095149.jpg,original_data/task_23/data/manifest.jsonl,IMG_20240619_095149,,ambiguous,False,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,23,original_data/task_23/data/IMG_20240626_111419.jpg,IMG_20240626_111419.jpg,original_data/task_23/data/manifest.jsonl,IMG_20240626_111419,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,23,original_data/task_23/data/IMG_20240703_104054.jpg,IMG_20240703_104054.jpg,original_data/task_23/data/manifest.jsonl,IMG_20240703_104054,,ambiguous,True,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,23,original_data/task_23/data/IMG_20240705_122411.jpg,IMG_20240705_122411.jpg,original_data/task_23/data/manifest.jsonl,IMG_20240705_122411,,ambiguous,False,ambiguous,Could not infer infection status: generic_pattern,generic_pattern
,24,original_data/task_24/data/1741099051445.jpg,1741099051445.jpg,original_data/task_24/data/manifest.jsonl,1741099051445,,ambiguous,True,ambiguous,Could not infer infection status: purely_numeric,purely_numeric
,25,original_data/task_25/data/1741099051692.jpg,1741099051692.jpg,original_data/task_25/data/manifest.jsonl,1741099051692,,ambiguous,True,ambiguous,Could not infer infection status: purely_numeric,purely_numeric
,26,original_data/task_26/data/1741000170049.jpg,1741000170049.jpg,original_data/task_26/data/manifest.jsonl,1741000170049,,ambiguous,True,ambiguous,Could not infer infection status: purely_numeric,purely_numeric
,27,original_data/task_27/data/1741000169975.jpg,1741000169975.jpg,original_data/task_27/data/manifest.jsonl,1741000169975,,ambiguous,True,ambiguous,Could not infer infection status: purely_numeric,purely_numeric
