epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1942,2.16229,4.28366,3.12444,1.9152,0,0.58181,0.57289,0.55337,0.29353,0.34846,0.37127,0.19992,0.03168,1.66579,3.81244,3.09029,1.45042,0,0.0032,0.0032,0.0712
2,39.1826,1.57691,3.34344,1.96216,1.3193,0,0.39335,0.67059,0.60288,0.32179,0.28293,0.48235,0.34084,0.05615,1.59832,3.35914,5.58769,1.316,0,0.00643565,0.00643565,0.0414356
3,58.1085,1.64262,3.64217,1.99707,1.28249,0,0.24181,0.41176,0.2179,0.11045,0.22598,0.36471,0.17644,0.04928,1.70682,3.38477,2.69518,1.3903,0,0.00960596,0.00960596,0.011606
4,76.9351,1.72501,3.39005,1.72209,1.33416,0,0.51645,0.42353,0.42117,0.18496,0.33302,0.2,0.13167,0.02566,1.70607,4.36473,1.83183,1.46099,0,0.009703,0.009703,0.009703
5,96.069,1.69555,3.53267,1.50001,1.39019,0,0.81905,0.44706,0.58668,0.31951,0.70071,0.36471,0.37019,0.07218,1.60215,3.97454,1.74577,1.34873,0,0.009604,0.009604,0.009604
6,114.963,1.64761,3.35691,1.63761,1.33751,0,0.63097,0.54118,0.56339,0.25219,0.25211,0.29412,0.12959,0.02592,1.91153,4.14429,2.60332,1.55816,0,0.009505,0.009505,0.009505
7,133.733,1.68716,3.37161,1.5233,1.3707,0,0.6595,0.6,0.61512,0.23158,0.5048,0.45882,0.37461,0.08068,2.0632,3.47569,2.24882,1.64828,0,0.009406,0.009406,0.009406
8,153.486,1.63859,3.38774,1.36657,1.35045,0,0.48485,0.67059,0.53834,0.24504,0.45965,0.54043,0.3793,0.11493,1.87208,3.5477,2.08225,1.64278,0,0.009307,0.009307,0.009307
9,172.544,1.65409,3.3251,1.40162,1.39315,0,0.74478,0.62353,0.66812,0.33771,0.63195,0.52941,0.47428,0.13621,1.74679,3.31896,1.35854,1.5271,0,0.009208,0.009208,0.009208
10,191.536,1.5892,3.21707,1.23599,1.35392,0,0.76601,0.77647,0.78878,0.36114,0.64412,0.64706,0.59034,0.14244,1.67097,3.20225,1.46123,1.48408,0,0.009109,0.009109,0.009109
11,210.406,1.62627,3.26126,1.24868,1.37641,0,0.71089,0.6,0.64235,0.33774,0.64101,0.52941,0.49912,0.14222,1.80797,3.35088,1.86795,1.61716,0,0.00901,0.00901,0.00901
12,229.479,1.66117,3.25174,1.32986,1.36622,0,0.7871,0.61176,0.73396,0.37365,0.72543,0.54118,0.56999,0.1511,1.70196,3.27791,1.43171,1.57266,0,0.008911,0.008911,0.008911
13,248.603,1.63988,3.23857,1.29955,1.34169,0,0.72372,0.71765,0.68489,0.34688,0.63749,0.53793,0.49738,0.1303,1.71023,3.39027,1.46531,1.48444,0,0.008812,0.008812,0.008812
