epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,60.3567,1.78317,3.57172,2.36464,1.66013,0,0.72065,0.64706,0.69493,0.40308,0.62814,0.4571,0.41528,0.08564,1.57058,3.31516,1.15001,1.4686,0,0.00332036,0.00332036,0.0701167
2,121.499,1.65884,3.21643,1.57828,1.51244,0,0.61192,0.58824,0.6175,0.3155,0.63504,0.47059,0.45969,0.14288,1.59214,3.08342,1.50724,1.49864,0,0.00654391,0.00654391,0.0400069
3,180.63,1.75199,3.22973,1.63971,1.5569,0,0.54395,0.35294,0.39089,0.20236,0.52148,0.27059,0.29055,0.06245,1.78263,3.25041,2.62833,1.6516,0,0.00965746,0.00965746,0.00978716
4,239.717,1.8985,3.3453,2.24505,1.57479,0,0.43447,0.57647,0.41537,0.19556,0.33839,0.42725,0.24223,0.0578,1.83016,3.64548,1.68715,1.60046,0,0.009505,0.009505,0.009505
5,298.535,1.85941,3.34609,1.75621,1.59951,0,0.66083,0.66477,0.67052,0.34023,0.41642,0.43529,0.29945,0.0649,1.75044,3.35648,1.53415,1.6054,0,0.00934,0.00934,0.00934
6,357.508,1.82147,3.33442,1.63404,1.60225,0,0.66882,0.64153,0.64111,0.31592,0.63233,0.61176,0.53391,0.15564,1.76723,3.14732,1.53305,1.59552,0,0.009175,0.009175,0.009175
7,416.452,1.8704,3.23729,1.61364,1.64662,0,0.74292,0.748,0.71008,0.37775,0.60331,0.59048,0.48101,0.14008,1.71291,3.25202,1.33657,1.57674,0,0.00901,0.00901,0.00901
8,475.348,1.81982,3.21302,1.55744,1.57797,0,0.75397,0.62353,0.69143,0.36346,0.5699,0.55294,0.49784,0.15441,1.64275,3.24091,1.27876,1.55521,0,0.008845,0.008845,0.008845
9,534.405,1.79512,3.26428,1.51446,1.58408,0,0.75568,0.65502,0.71938,0.38275,0.6594,0.56471,0.58707,0.19405,1.56871,3.11972,1.33463,1.48177,0,0.00868,0.00868,0.00868
10,593.274,1.7531,3.15627,1.44056,1.5477,0,0.74229,0.69412,0.70394,0.36292,0.64916,0.56471,0.55564,0.15589,1.60177,3.07104,1.34279,1.52237,0,0.008515,0.008515,0.008515
11,652.583,1.71384,3.16445,1.41306,1.52034,0,0.83195,0.62353,0.70793,0.37437,0.7107,0.52941,0.54259,0.18149,1.63858,3.20099,1.297,1.48975,0,0.00835,0.00835,0.00835
12,711.857,1.67708,3.09101,1.34268,1.49241,0,0.8249,0.70588,0.73416,0.44317,0.74963,0.63529,0.62094,0.16265,1.49662,3.02018,1.16033,1.47827,0,0.008185,0.008185,0.008185
13,771.029,1.6283,3.0256,1.29017,1.46531,0,0.94029,0.70588,0.79928,0.40097,0.77155,0.59603,0.58816,0.17528,1.63378,3.02098,1.15872,1.52514,0,0.00802,0.00802,0.00802
14,830.039,1.64631,3.08436,1.29922,1.47195,0,0.80786,0.67059,0.71601,0.41105,0.67892,0.55294,0.56958,0.18521,1.43849,3.08932,1.18943,1.43989,0,0.007855,0.007855,0.007855
15,889.241,1.60971,3.04575,1.29307,1.46751,0,0.78478,0.75294,0.81603,0.46695,0.63655,0.65882,0.61926,0.20358,1.44993,2.91132,1.07672,1.42585,0,0.00769,0.00769,0.00769
16,948.619,1.60131,3.02552,1.23448,1.4472,0,0.86422,0.67397,0.76745,0.4217,0.73414,0.55294,0.52508,0.14863,1.52034,3.12239,1.15014,1.45512,0,0.007525,0.007525,0.007525
17,1007.71,1.60083,2.97846,1.22524,1.44211,0,0.88754,0.74278,0.82135,0.429,0.72088,0.63811,0.6036,0.16414,1.48696,3.0605,1.14237,1.46644,0,0.00736,0.00736,0.00736
18,1066.81,1.5305,2.98146,1.1888,1.39983,0,0.83089,0.75144,0.77747,0.46084,0.69056,0.62353,0.59002,0.19149,1.39298,2.93055,1.00608,1.41388,0,0.007195,0.007195,0.007195
19,1126.81,1.51391,2.94325,1.15328,1.38013,0,0.84336,0.78824,0.85091,0.45586,0.67806,0.67059,0.63981,0.19113,1.54553,2.92672,1.00742,1.44642,0,0.00703,0.00703,0.00703
20,1185.89,1.51055,2.92909,1.13481,1.38193,0,0.78847,0.77647,0.8116,0.48525,0.72247,0.64318,0.65825,0.21135,1.43194,2.86838,0.953,1.45196,0,0.006865,0.006865,0.006865
21,1245.48,1.50068,2.8949,1.13398,1.38959,0,0.88127,0.78593,0.80415,0.43991,0.7356,0.65465,0.63514,0.2093,1.44207,2.8841,1.00115,1.42074,0,0.0067,0.0067,0.0067
22,1304.84,1.46607,2.8481,1.07709,1.36311,0,0.82599,0.75294,0.81977,0.47128,0.74671,0.68235,0.69715,0.21674,1.47816,2.98517,0.97935,1.43171,0,0.006535,0.006535,0.006535
23,1364.13,1.44447,2.86376,1.06238,1.35082,0,0.89019,0.76471,0.80985,0.43621,0.75299,0.64558,0.61879,0.19831,1.48262,2.94142,1.01176,1.44457,0,0.00637,0.00637,0.00637
24,1423.57,1.44858,2.84703,1.04552,1.33815,0,0.8558,0.76808,0.80824,0.4576,0.7526,0.68,0.64047,0.20166,1.3987,2.87865,0.95277,1.42067,0,0.006205,0.006205,0.006205
25,1482.9,1.43242,2.80738,1.02883,1.32337,0,0.88311,0.72941,0.80735,0.45548,0.69411,0.61176,0.58179,0.17948,1.5062,2.89776,0.99469,1.39781,0,0.00604,0.00604,0.00604
26,1542.14,1.39711,2.7841,1.0121,1.31834,0,0.91315,0.74217,0.79736,0.46318,0.78265,0.63547,0.63089,0.18666,1.43643,2.94709,0.98612,1.40098,0,0.005875,0.005875,0.005875
27,1601.76,1.37899,2.78882,0.99273,1.31027,0,0.90392,0.7748,0.84054,0.47997,0.79468,0.58824,0.6472,0.20788,1.48566,2.86948,0.93555,1.45144,0,0.00571,0.00571,0.00571
28,1661.04,1.38754,2.78701,0.983,1.31004,0,0.87378,0.73302,0.82336,0.48526,0.73972,0.65882,0.6651,0.21399,1.38972,2.94043,0.94067,1.42808,0,0.005545,0.005545,0.005545
29,1720.54,1.33253,2.71669,0.94742,1.28847,0,0.92321,0.78824,0.8627,0.49886,0.77321,0.64181,0.65246,0.22711,1.41274,2.92791,0.87484,1.38722,0,0.00538,0.00538,0.00538
30,1779.95,1.31394,2.72305,0.90217,1.27281,0,0.89908,0.8,0.84564,0.49148,0.80287,0.71765,0.72869,0.23203,1.37518,2.84645,0.91859,1.38612,0,0.005215,0.005215,0.005215
31,1839.63,1.31687,2.64072,0.88953,1.27075,0,0.86572,0.75294,0.82842,0.49354,0.75303,0.62353,0.62152,0.19648,1.40494,2.95131,0.88194,1.42056,0,0.00505,0.00505,0.00505
